iter	Passed	Remaining
741	8336	2898
742	8346	2887
743	8358	2875
744	8369	2864
745	8380	2853
746	8391	2842
747	8402	2830
748	8413	2819
749	8424	2808
750	8434	2796
751	8445	2785
752	8456	2773
753	8467	2762
754	8478	2751
755	8490	2740
756	8501	2729
757	8512	2717
758	8523	2706
759	8535	2695
760	8546	2684
761	8558	2673
762	8569	2661
763	8580	2650
764	8591	2639
765	8602	2627
766	8613	2616
767	8624	2605
768	8636	2594
769	8647	2582
770	8659	2571
771	8669	2560
772	8682	2549
773	8693	2538
774	8704	2527
775	8716	2516
776	8727	2504
777	8738	2493
778	8749	2482
779	8760	2470
780	8772	2459
781	8783	2448
782	8795	2437
783	8806	2426
784	8818	2415
785	8829	2403
786	8839	2392
787	8851	2381
788	8862	2370
789	8873	2358
790	8885	2347
791	8895	2336
792	8907	2325
793	8919	2314
794	8930	2302
795	8941	2291
796	8953	2280
797	8964	2269
798	8974	2257
799	8986	2246
800	8996	2235
801	9008	2224
802	9019	2212
803	9030	2201
804	9041	2190
805	9052	2178
806	9063	2167
807	9075	2156
808	9086	2145
809	9097	2133
810	9108	2122
811	9120	2111
812	9132	2100
813	9143	2089
814	9154	2078
815	9165	2066
816	9177	2055
817	9187	2044
818	9199	2033
819	9211	2021
820	9222	2010
821	9231	1998
822	9242	1987
823	9254	1976
824	9265	1965
825	9278	1954
826	9288	1943
827	9299	1931
828	9311	1920
829	9323	1909
830	9334	1898
831	9346	1887
832	9357	1876
833	9369	1864
834	9380	1853
835	9391	1842
836	9403	1831
837	9414	1819
838	9424	1808
839	9436	1797
840	9447	1786
841	9459	1775
842	9471	1764
843	9483	1752
844	9494	1741
845	9505	1730
846	9516	1719
847	9527	1707
848	9537	1696
849	9547	1684
850	9557	1673
851	9569	1662
852	9579	1650
853	9591	1639
854	9603	1628
855	9613	1617
856	9625	1606
857	9636	1594
858	9647	1583
859	9658	1572
860	9669	1561
861	9682	1550
862	9693	1538
863	9703	1527
864	9714	1516
865	9726	1505
866	9737	1493
867	9749	1482
868	9759	1471
869	9770	1459
870	9781	1448
871	9790	1437
872	9801	1425
873	9812	1414
874	9823	1403
875	9836	1392
876	9847	1381
877	9857	1369
878	9868	1358
879	9880	1347
880	9891	1336
881	9902	1324
882	9914	1313
883	9923	1302
884	9934	1290
885	9946	1279
886	9957	1268
887	9968	1257
888	9980	1246
889	9991	1234
890	10001	1223
891	10012	1212
892	10023	1200
